Edad,ID empleado,Fecha contratacion,Años de experiencia,Viajes realizados,Km totales recorridos,Tiempo de inactividad total,Incidentes de peligro,Renuncia
31,f928f102-ac08-4faf-8f67-b68bcb35fa15,2023-01-08,4,701,250537,35730,0,1
46,4cb89785-8320-4e4f-bba5-91fa725b56e7,2020-09-08,11,1404,478993,57174,0,1
47,a3cd46b7-b2d9-4288-aad9-73b65a61cc67,2022-04-15,20,914,233251,86084,0,0
24,068148af-6c22-45ea-96ca-dcb45e744536,2022-03-12,4,635,454205,34626,0,1
29,da0a8bca-42a5-4e04-8599-133aecd812ed,2023-06-10,3,451,233591,31094,0,1
41,25170bce-5f9c-410b-946a-373948d7bac2,2008-12-24,10,3510,2135178,95366,3,1
37,40776d97-8d4a-4d50-9a26-b07ccc63203e,2014-10-13,10,3260,1116670,230314,0,0
39,eaf82b76-8ab2-48d2-8a96-d8b1cc64d567,2008-04-18,7,3551,2195481,179530,0,0
33,b73af5b7-0395-4bf0-ae33-1612526ae5c1,2020-07-13,7,950,661835,51409,0,0
47,2e0b424c-1a5c-430e-a3c1-579317b67042,2010-02-27,2,2767,1802198,131780,2,1
46,91810429-c01e-48d4-9174-fbccfa12b4bb,2021-02-11,4,847,570251,63403,0,1
40,777b58af-4cfc-437a-a3a6-2a4f29c6ab63,2006-06-27,8,3928,1953242,51889,0,1
49,18a25292-9fff-405c-a865-1d42b226a5ef,2019-02-04,27,1177,793239,56242,0,0
43,fcfbde8f-d1c5-4d9d-8a25-99c43c06207e,2021-10-24,8,1036,540273,59994,0,1
33,67799245-ceb4-48ee-aa8d-1f3c08fb7536,2021-07-03,3,1085,599726,62219,0,0
42,b21c5253-c83e-459e-9918-aed6158c485f,2006-06-10,17,4115,3120000,268240,1,0
32,9e911392-8b4e-4ddf-a19e-6cab6e49ec30,2022-11-24,12,673,308716,38534,0,1
47,3b44af08-ecc2-462e-935f-2f926091db6a,2007-08-03,12,4294,2263236,241605,1,0
39,5a19623f-2ec9-4ff0-973f-a67f212873a2,2009-12-31,0,4487,1739782,303419,0,1
38,b7e494d1-fdd7-4a82-a7ce-5f930ac4a495,2010-08-28,13,3334,1088421,220128,2,0
34,6fa7acc8-8172-492a-ae27-8d4e804d710c,2021-07-04,6,969,323857,50567,0,1
49,cb2eea81-486b-4ff3-b7ab-8d848313bda7,2022-05-19,20,663,342277,28319,0,1
38,741be433-749e-462f-89c1-debc0c0a9818,2016-02-04,5,1905,1130849,128871,0,1
36,0d4d2197-1e4b-4d7e-b7b7-a2b268865a62,2020-12-05,0,1135,716226,94096,0,0
37,97da258f-892f-4049-94d6-845a53feb6e3,2012-04-15,6,3763,2140730,181123,0,1
44,aae6f9f2-2941-4b5a-9fea-149cda107483,2015-08-12,17,2795,1029537,199714,0,0
42,d0a39427-2595-4e03-8dc4-6b2bd3e3921d,2014-04-15,9,2552,1650646,216010,0,0
43,786398a0-32c4-4984-b8b1-6e005d425bf0,2021-07-23,5,931,410686,69796,0,1
43,4d9591b9-4492-49b1-a13b-0f11f82e6dac,2011-02-14,11,4131,2075241,128527,1,1
57,075dde5c-6920-472b-b6d4-0620ed5700c6,2018-10-16,28,1214,964912,72605,0,0
36,afb886f3-1932-452e-833f-7d57baf3ae3f,2013-04-23,2,2289,1945760,159183,4,1
35,467545a4-1e09-4f65-8e2a-56c7371d6c66,2023-02-06,11,490,234183,29363,0,0
33,d8ecf36c-0035-41c8-89c4-45334a9f4130,2011-06-28,9,2943,2153565,196391,1,0
44,d181b51b-d24a-4b03-8f3d-5d6bd89df359,2007-10-01,9,4133,1273312,221795,2,0
49,ed154a9d-b0c9-4d17-9fda-c62290a64627,2018-11-25,29,1229,1038059,77642,0,1
39,62cdbe36-e149-4539-8160-e92f58c58d98,2023-11-25,17,340,160775,19965,0,1
33,4870115f-bf0a-408b-a02a-cacea5b5056a,2019-10-27,4,1500,682617,91652,0,1
33,1f93b5bc-5fd8-4cc1-8b4e-278aea22051c,2022-03-07,0,890,203835,59706,0,1
45,d25800f5-20e9-4ff5-8185-26f7d3c5248a,2018-09-16,8,1792,751982,62257,0,1
45,493af9f5-4ec2-442b-a1f2-4c15d8f9591a,2002-05-13,5,5484,3817874,152651,1,1
44,be644008-bbf8-4cde-b5f4-0b27022407b8,2009-09-12,13,4937,1784314,151862,3,1
34,556817c5-bd42-4a59-9d52-a7de394fe8e1,2021-09-12,13,1000,515359,54234,0,0
41,3f34cf85-123b-4870-8439-6b4ad9b023af,2012-06-26,19,3292,1633651,131791,1,1
40,7c9c272f-2cb6-4a11-83a8-47b56768d4bf,2019-01-20,6,1300,970950,94786,0,0
41,d64539af-b199-4282-8619-77a74b2aec3b,2003-09-06,9,5960,2866666,269003,0,0
46,dc85d1cb-c5f5-4e39-8734-2b7ead374aed,2023-04-26,0,497,185932,36325,0,0
41,cedc0743-464c-486e-8ee4-25151d483d60,2008-10-18,11,4622,2119296,136953,0,0
45,e864d885-6537-4d79-80b4-5105248e22d4,2004-11-08,1,6026,3546526,154150,3,1
40,3522bd39-7d47-4def-a023-ff111e821945,2022-10-28,19,740,333288,30436,0,0
42,d215baaa-a9d7-4bb2-9511-f4adcbfa7179,2020-05-21,19,1534,594494,86855,0,0
45,7e2727d8-1ee5-4e1c-9fd9-40f37beb7d5f,2014-07-26,5,2911,2053408,151118,0,1
28,0e89c962-4460-4f9d-ac1b-6132bcba244b,2017-03-23,6,2570,1283938,161304,0,0
37,8dafc5a4-8106-43d4-aa7c-236b9b656697,2015-01-16,10,3196,1535507,170375,1,0
36,ee217c51-8a3c-4bf6-99a9-37aae5916534,2013-09-09,13,2099,1573248,152101,0,0
34,97f40084-0d46-45f4-b16b-d0dd3ed52c5e,2013-03-18,7,3296,1783170,166427,0,1
37,40715316-0698-487c-8b6d-ce6e2efcdbb3,2010-02-05,3,3144,2261835,142571,2,1
51,457a1c53-8673-414f-9742-f136a12aeb8c,2010-05-13,20,3341,948076,235738,0,0
33,441b87b2-312d-447b-8fc7-049c19190482,2017-07-22,1,1720,1060452,120127,0,1
47,933d6f9b-0e9c-4870-9b6b-bb51022dc6cc,2004-10-17,16,5157,2508288,188195,3,0
26,1c52c816-585e-46a4-8061-6f40950f6696,2022-08-03,1,474,291726,33195,0,1
37,4a15fe39-60f7-43be-8a0b-ef8442756366,2009-08-25,12,3368,1894846,157420,0,1
41,6446e31e-2423-4fa1-ad56-c36fe08bcf28,2023-09-24,18,268,118178,8694,0,0
44,a8174e86-f6fd-4305-90f2-d8958d6bce3c,2019-06-22,2,1580,427507,107886,0,1
45,9a64a3c2-c0cd-4dd6-b8e6-17381a64680c,2004-03-05,10,6559,3447555,112130,0,0
46,d6b959d9-6f8c-4eb7-94d2-d0f7db38715f,2015-04-29,19,3231,1390779,170394,10,1
37,402ff978-cb79-42a3-95b5-20ab5bae6db4,2021-08-15,2,879,203104,34715,0,0
36,c0d948d5-66c4-4277-bfac-7784d2ad7e36,2021-03-07,9,878,442158,44869,0,1
46,be321b27-cfc1-40e2-87fb-fcda2c15874f,2010-05-18,18,4543,2270818,160519,0,0
38,62354e07-52f5-4fc7-a119-258f25cae7f0,2008-12-11,6,3230,1940695,215862,0,0
29,3f34d664-4fa1-4574-b5d0-e29459e0e0cd,2023-07-13,8,531,268411,28854,0,0
30,a78314a0-8cdf-4c4f-9b5a-13643c02d193,2023-11-11,5,374,206574,17437,0,0
32,c3f47c45-7604-48e4-854c-8f9d36343db8,2018-08-03,8,1685,579994,111012,0,0
43,5f449d87-b222-457d-aa54-e12e1d5745ad,2002-03-10,3,4520,2840977,191828,10,1
41,d7c48ca2-07c8-41f4-90d7-3d1311088764,2018-04-24,0,1269,786324,91942,0,0
45,044a4610-21cd-41ba-8c9c-67f1866d2e89,2000-03-15,1,6544,2177695,217147,4,1
36,bce15ec3-0a78-4d09-94f3-731d29e38eaf,2009-12-21,15,3693,1296568,210271,0,0
41,645616ed-146e-4318-82bb-4bb73f7cfb15,2018-03-23,19,2121,723788,197730,0,0
45,46dd354a-9b58-4e14-9f33-4ac3bc2b8edf,2003-10-04,20,5918,2335738,231420,0,0
37,ab5535fc-ad84-4b86-8766-7fd48f00c6c3,2012-07-07,3,3108,1721681,162685,0,1
43,f1e1ec75-4fcb-445d-895c-b897d2fda7c7,2012-05-27,12,2751,2020716,79681,0,0
34,2dbf3971-0261-41b6-8a13-0f963635be21,2018-04-01,11,1748,987897,77786,0,0
37,e41a1011-a474-431a-8e91-bb1f11f60d11,2010-04-24,12,3066,2224411,166281,0,0
36,bcce62f3-9dfa-4c99-95bc-dd9fed5c7f87,2011-06-27,1,3830,1642038,170859,0,1
30,098c492c-a3df-4f25-92a3-fcbd7ca6877d,2016-08-08,9,2321,1245296,142548,0,0
43,548fc5c2-7ca5-44bb-8fff-b6ed518316f3,2001-03-22,3,7206,2956946,257961,0,0
36,bfa3ea9e-bcd0-48b2-aaaf-373708774d17,2016-07-07,2,2147,994081,81582,0,1
40,bdfcbd2d-b502-48e3-ad5e-d49308ba8030,2008-01-15,18,3824,3138559,189432,1,0
43,e7749571-6909-4305-a2cf-b49b080bfcbf,2004-05-05,11,6346,1243888,226028,1,0
43,631c6546-3549-46b4-9c48-3a901982fa7d,2019-04-21,8,1662,428490,82542,0,0
45,01a3ae64-1c08-4c46-819a-36061e32bd5c,2023-02-12,14,585,284700,38923,0,1
39,21e5813e-92aa-4044-a686-e74069384bb7,2016-06-25,19,2255,1042629,175008,0,0
36,4137b6d1-b06f-492c-8b71-18e54a1c55b0,2010-06-20,2,4564,1261701,174996,2,1
39,b5bf1f3c-55bf-4314-8529-da51e40521d7,2018-09-05,15,1400,629280,88358,0,0
26,4b363849-4681-4581-b992-8fed6d471697,2019-12-20,2,1253,523938,79706,0,0
28,a5b9a313-052f-4d27-a16f-00c3e1b7b1d1,2024-02-09,1,315,162655,23534,0,1
29,3e91fb7c-8f73-4879-b69c-e97d6254be10,2020-12-20,4,847,684793,66711,0,0
32,935fa7a7-a980-450b-9c88-9b401d10d27f,2016-10-14,7,2519,1472364,111564,0,0
43,a4c0b39d-61e8-4437-a9dc-66cc3c81ba5b,2021-03-08,4,932,324066,73723,0,1
32,9d8b3fff-c0bf-49df-85ba-44f3bb44ed90,2013-05-31,5,2361,1032784,182972,0,0
36,c97e53ba-0953-4d14-adc8-0d0900a9a86d,2021-09-01,10,678,300286,62547,0,0
50,1283005d-38a5-4771-bbfe-2b236b360bcd,1997-10-19,17,8367,4528820,128621,1,0
37,a0222e8c-2bec-4abb-90be-01162b1d78e2,2020-06-28,13,1385,654426,84455,0,1
45,3cb850c8-d6e4-4178-92e0-0cc683acefe2,1999-04-30,21,5805,3363497,191527,1,0
32,c3381ef9-607a-4245-9409-66232b52c671,2016-11-30,5,1646,1109899,60258,0,0
38,669de3b0-0e3b-4d3a-9e23-f9aaae26cad3,2022-08-25,8,550,317475,32435,0,1
32,d11580c4-9458-41bb-a56e-4b6d0d796bcf,2023-05-21,6,380,169200,25250,0,1
37,b2cd96b5-7fdb-4398-924d-8d7a6d84678f,2022-11-23,10,657,324183,39908,0,0
46,327b8d02-9d89-43bd-aa3c-60d5bce03dea,2008-11-02,2,3495,1998254,200180,2,1
26,4abd657e-1cf3-4a45-a76d-7ea8c1b0ab6c,2019-04-25,2,1253,542743,49129,0,0
43,89d5d39d-5eeb-4a02-acf3-1ad2063a4b8d,2014-11-27,4,1921,1483597,101763,0,0
41,86460646-6108-402e-aaa6-955e7d1e5ab8,2014-10-31,8,2788,1192346,224958,2,1
35,b4616df1-3f6e-488c-b42d-d6336b121166,2015-05-02,15,2785,1322201,180318,0,0
28,52979aff-c816-4548-8854-b300f7840249,2019-11-27,5,1462,653143,99777,0,1
40,2a36d91a-4775-4756-9487-8f1d8d35cf2a,2010-06-01,9,3918,2269598,185833,0,0
35,a7ef88f4-f186-41fa-81c1-07f74a35802e,2017-02-03,9,2613,1083723,125215,1,1
41,64e7c234-d4ec-4894-9497-859fe0430a2d,2009-03-09,14,4021,1630018,114002,3,0
40,dc673b33-6d21-4063-a1c4-6f1509c0cea0,2004-03-26,9,6452,2872687,233856,4,1
52,572c5926-46ff-44d6-80fa-45ec0a4717de,2014-01-06,14,3088,1540743,59733,0,0
38,a9caa0d6-92d9-4880-92e0-95db009d66b7,2023-12-12,13,237,173953,14090,0,0
31,9c641b7b-9967-4a29-bbfe-12f366a1e5a9,2022-10-14,0,716,376163,44151,0,1
41,b0bf51d8-4437-4548-8a52-f68aaace24d1,2012-07-20,11,3380,1385423,156011,0,0
41,c7afc789-17d8-4939-bf21-3c69f108c180,2016-12-10,12,2286,1211514,187870,0,0
50,514416a1-8f4e-4904-a069-bcc501ae9fe2,1996-12-04,23,5900,2186718,418635,0,0
46,56350377-4d9d-4b6f-a4ba-e3a3b3e6a2ba,2007-11-12,26,4265,2150995,246610,0,1
42,c5fe15cd-3956-412c-95c1-f14496b7b27a,2012-09-22,18,3871,1490227,144220,0,0
51,9a47f73c-9f37-4a02-8580-2f21754d7323,2001-01-14,16,5165,4104872,250654,0,1
30,6a221123-3e09-423d-83a7-9d1ecb407624,2021-08-01,1,654,441441,47541,0,1
34,a998b99d-1db9-4c42-89f0-86a0a33738b3,2012-09-12,8,2745,1815003,106801,0,1
32,1b3819dc-073c-4aac-aa63-9ff62e37e292,2024-02-17,10,262,79023,17233,0,0
36,7659b421-49b0-44d2-80fa-efadaaf3787d,2014-04-05,15,3299,1281965,209960,2,1
28,19b18213-e3ee-40ef-bfa4-b11b9065ed28,2016-09-10,7,2343,873409,113293,0,1
45,490982e1-1d3b-4615-97b9-d3f91f614b68,2004-06-25,4,6554,4139900,111330,1,1
38,3d6b0e8a-7fe6-4635-a3ac-3831a8e933c9,2008-10-23,13,4074,1771927,216801,0,0
28,b19ac02b-45f8-4294-820d-c2d6e79f9609,2020-12-28,7,1000,542334,44274,0,1
31,dc55db4f-fe39-4f61-8ffc-a9fbcffc2c42,2015-02-08,8,2177,1323103,112007,1,0
42,5fe76bec-4704-4366-b629-69a1ac22a45f,2012-01-21,15,2811,1066966,119885,0,0
46,72f23646-f587-40e5-9c36-9ededb703e9f,2008-02-05,13,4952,1919555,270921,0,0
55,67594e7e-ae76-459c-87c2-5c54b486cf25,2022-06-17,22,525,377792,25659,0,0
60,f46a483e-93f9-4b7d-ac3c-12787b44c4d7,2018-04-29,12,1491,891430,93833,0,0
43,f009ae7b-adba-44d8-b898-7c61e1389d21,2011-07-03,2,4263,828175,156405,0,0
32,b98bf0ab-76d7-456b-b078-c2f2fd047e21,2023-06-18,10,454,189486,20852,0,0
22,d345fb73-bee3-47ae-a599-f136a0da3ce1,2022-09-07,2,469,391089,20884,0,1
42,d4b855ac-a75c-479f-a6a9-9d01abc0c48a,2005-09-12,19,5557,2823081,183184,0,0
33,5c65f5e5-e893-44ec-b5a5-8683376fa64a,2012-03-17,4,3325,2117298,157970,1,1
36,8b400016-9ee5-4d4b-9c65-735b20dc2b8a,2022-07-16,1,807,260031,55458,0,0
35,38ad75bb-ddda-492d-ac64-9230cfa2aa33,2010-01-30,4,4258,2492681,93436,3,1
38,e8050920-c9ae-4d8e-9793-db5bd220cc66,2022-12-13,16,405,280276,24851,0,1
48,0f405c61-7135-437e-a267-03636ba0a794,2010-11-26,19,3033,2486660,113363,0,0
41,0eb1c34e-20ea-4207-a670-9a82d8076419,2006-07-14,21,4104,2383548,214710,3,1
38,233808b4-1c9c-4f3a-a0da-6c08aa8d22b7,2022-11-26,6,645,153802,38723,0,0
31,aa8310ab-ea54-40f0-a5c1-d0d7e9122e3a,2023-12-19,6,308,183057,19380,0,0
26,57bfb9e7-2a70-4cf6-8a86-d8a119769579,2024-01-07,5,334,131783,17544,0,0
36,600a79fa-6b92-4921-951a-55e596c47bda,2015-12-29,3,2362,1071670,187842,0,0
39,882529f0-14b3-4049-9b9a-e91d89192e79,2008-10-03,19,3781,1400877,138136,0,1
54,29ca753c-9b47-4445-b601-2a122b15df0c,2020-06-22,20,927,821856,49944,0,0
41,958749b0-66f4-4fdf-8493-ce46f92d325f,2021-07-20,0,766,406971,49351,0,1
47,13eb329c-7a08-4472-87f9-8b0374dec5c3,2008-10-28,0,3940,2840785,148092,0,0
36,f037057e-44d5-4d58-9b14-64413d4de75a,2020-06-02,14,1248,546762,61148,0,0
30,db9aba93-3ed2-48e4-875b-ce29cded20c9,2016-11-13,7,2652,835614,81106,0,0
32,2d0f7663-e8bd-452b-933d-50afb7daeb7f,2012-10-11,9,2695,2060963,109336,1,1
34,fa39ae92-8921-42cd-b608-7c3ace9ec818,2013-06-13,11,3279,1472546,125676,0,1
