Edad,ID empleado,Fecha contratacion,Años de experiencia,Viajes realizados,Km totales recorridos,Tiempo de inactividad total,Incidentes de peligro,Renuncia,Antigüedad (dias),KM x Viaje,Tiempo de inactividad x Viaje,Viajes x Año,Score norm,Finanzas,Operaciones,RH
31,f928f102-ac08-4faf-8f67-b68bcb35fa15,2023-01-08,4,701,250537,35730,0,1,783,357.3994293865906,50.97004279600571,326.7752234993614,-0.9535032510757446,1.0,0.0,0.0
46,4cb89785-8320-4e4f-bba5-91fa725b56e7,2020-09-08,11,1404,478993,57174,0,1,1635,341.1631054131054,40.72222222222222,313.4311926605505,-2.1108205914497375,0.0,3.0,1.0
47,a3cd46b7-b2d9-4288-aad9-73b65a61cc67,2022-04-15,20,914,233251,86084,0,0,1051,255.1980306345733,94.18380743982495,317.4215033301617,-0.9956121444702148,0.0,1.0,0.0
24,068148af-6c22-45ea-96ca-dcb45e744536,2022-03-12,4,635,454205,34626,0,1,1085,715.2834645669292,54.52913385826772,213.61751152073734,-0.9992809891700745,1.0,0.0,0.0
29,da0a8bca-42a5-4e04-8599-133aecd812ed,2023-06-10,3,451,233591,31094,0,1,630,517.9401330376941,68.94456762749445,261.2936507936508,0.9010710120201111,0.0,0.0,1.0
41,25170bce-5f9c-410b-946a-373948d7bac2,2008-12-24,10,3510,2135178,95366,3,1,5911,608.3128205128205,27.16980056980057,216.73997631534428,-0.9745419025421143,0.0,0.0,1.0
37,40776d97-8d4a-4d50-9a26-b07ccc63203e,2014-10-13,10,3260,1116670,230314,0,0,3792,342.5368098159509,70.64846625766872,313.792194092827,-0.604702353477478,0.0,1.0,0.0
39,eaf82b76-8ab2-48d2-8a96-d8b1cc64d567,2008-04-18,7,3551,2195481,179530,0,0,6161,618.2711912137426,50.5575894114334,210.3741275766921,-0.9980626702308655,0.0,0.0,1.0
33,b73af5b7-0395-4bf0-ae33-1612526ae5c1,2020-07-13,7,950,661835,51409,0,0,1692,696.6684210526316,54.114736842105266,204.93498817966903,0.0,0.0,0.0,0.0
47,2e0b424c-1a5c-430e-a3c1-579317b67042,2010-02-27,2,2767,1802198,131780,2,1,5481,651.3183953740513,47.62558727864113,184.26473271300856,-2.969800353050232,1.0,2.0,0.0
46,91810429-c01e-48d4-9174-fbccfa12b4bb,2021-02-11,4,847,570251,63403,0,1,1479,673.2597402597403,74.85596221959858,209.02974983096686,-1.937292456626892,0.0,1.0,1.0
40,777b58af-4cfc-437a-a3a6-2a4f29c6ab63,2006-06-27,8,3928,1953242,51889,0,1,6822,497.2612016293279,13.210030549898168,210.16124303723248,-0.07954394817352295,3.0,1.0,0.0
49,18a25292-9fff-405c-a865-1d42b226a5ef,2019-02-04,27,1177,793239,56242,0,0,2217,673.9498725573492,47.78419711129992,193.77762742444745,0.0,0.0,0.0,0.0
43,fcfbde8f-d1c5-4d9d-8a25-99c43c06207e,2021-10-24,8,1036,540273,59994,0,1,1224,521.4990347490348,57.90926640926641,308.937908496732,-0.23661816120147705,1.0,1.0,0.0
33,67799245-ceb4-48ee-aa8d-1f3c08fb7536,2021-07-03,3,1085,599726,62219,0,0,1337,552.7428571428571,57.34470046082949,296.2041884816754,0.0,0.0,0.0,0.0
42,b21c5253-c83e-459e-9918-aed6158c485f,2006-06-10,17,4115,3120000,268240,1,0,6839,758.2017010935601,65.18590522478736,219.61909635911684,0.5261367559432983,1.0,0.0,0.0
32,9e911392-8b4e-4ddf-a19e-6cab6e49ec30,2022-11-24,12,673,308716,38534,0,1,828,458.71619613670134,57.25705794947994,296.67270531400965,-0.03444558382034302,2.0,0.0,0.0
47,3b44af08-ecc2-462e-935f-2f926091db6a,2007-08-03,12,4294,2263236,241605,1,0,6420,527.0693991616208,56.265719608756406,244.12928348909657,0.0,0.0,0.0,0.0
39,5a19623f-2ec9-4ff0-973f-a67f212873a2,2009-12-31,0,4487,1739782,303419,0,1,5539,387.7383552484957,67.62179630042344,295.6770175121863,-0.011463046073913574,0.0,1.0,1.0
38,b7e494d1-fdd7-4a82-a7ce-5f930ac4a495,2010-08-28,13,3334,1088421,220128,2,0,5299,326.46100779844033,66.0251949610078,229.64899037554255,0.6480533480644226,1.0,0.0,0.0
34,6fa7acc8-8172-492a-ae27-8d4e804d710c,2021-07-04,6,969,323857,50567,0,1,1336,334.2177502579979,52.18472652218782,264.7342814371258,1.6297654509544373,1.0,0.0,1.0
49,cb2eea81-486b-4ff3-b7ab-8d848313bda7,2022-05-19,20,663,342277,28319,0,1,1017,516.2549019607843,42.71342383107089,237.94985250737463,-2.513354480266571,2.0,1.0,0.0
38,741be433-749e-462f-89c1-debc0c0a9818,2016-02-04,5,1905,1130849,128871,0,1,3313,593.6215223097113,67.6488188976378,209.87775430123756,-0.9968270659446716,0.0,1.0,0.0
36,0d4d2197-1e4b-4d7e-b7b7-a2b268865a62,2020-12-05,0,1135,716226,94096,0,0,1547,631.0361233480177,82.90396475770925,267.792501616031,0.0,0.0,0.0,0.0
37,97da258f-892f-4049-94d6-845a53feb6e3,2012-04-15,6,3763,2140730,181123,0,1,4703,568.8891841615732,48.1326069625299,292.0465660216883,-1.9975999593734741,1.0,0.0,1.0
44,aae6f9f2-2941-4b5a-9fea-149cda107483,2015-08-12,17,2795,1029537,199714,0,0,3489,368.3495527728086,71.45402504472271,292.39753511034684,0.0,0.0,0.0,0.0
